Word,Relative Frequency,Minimum Gap,Count
presented,5.813634,370,3
unique,5.813634,173,3
yours,5.813634,1424,3
business,5.700457,9,19
stick,5.682195,1795,3
careful,5.599421,4669,2
instance,5.599421,107,2
morning,5.598113,26,11
himself,5.506621,33,9
closed,5.486586,2186,4
newspaper,5.472801,4980,2
said,5.445437,3,51
nor,5.418345,2,3
orange,5.223441,30,2
stream,5.223441,2931,2
stone,5.177911,276,3
street,5.131825,3,9
looked,5.065523,76,6
agent,5.057681,140,3
quite,5.026557,148,9
determined,4.984381,4853,2
fault,4.984381,1018,2
strange,4.984381,4610,2
dark,4.950397,6,5
larger,4.942908,494,3
twenty,4.872874,5277,2
little,4.844695,13,25
appeared,4.833228,42,3
subject,4.776699,276,4
stopped,4.721477,715,3
heads,4.654219,1309,2
smoke,4.654219,280,2
opened,4.614777,20,3
whom,4.614777,309,3
light,4.580274,51,9
very,4.574167,16,42
nature,4.561622,33,4
methods,4.547338,589,2
evening,4.512793,7,3
behind,4.468051,8,8
appearance,4.445254,67,2
jump,4.445254,2,2
head,4.369795,24,13
afraid,4.347654,7362,2
crowd,4.347654,3502,2
enemy,4.347654,2088,2
filled,4.347654,916,2
labour,4.347654,78,2
man,4.283853,20,26
fantastic,4.245955,2050,2
crime,4.210389,25,3
entered,4.148904,3553,2
facts,4.148904,226,2
massive,4.148904,60,2
matters,4.148904,1451,2
quarter,4.148904,1506,2
sit,4.114940,81,3
london,4.098716,25,7
might,4.051310,6,17
front,3.991420,7,7
nothing,3.988207,21,13
dont,3.960318,1702,2
edge,3.960318,37,2
round,3.945969,1351,5
office,3.905094,34,9
conversation,3.875756,6247,2
criminal,3.875756,906,2
surprise,3.875756,3503,2
youth,3.875756,14,2
must,3.865237,28,17
face,3.862012,52,10
sound,3.862012,79,5
waiting,3.788130,478,4
hands,3.755474,719,5
yourself,3.737064,90,7
prove,3.698089,4078,2
thousands,3.698089,8044,2
men,3.697519,24,11
letter,3.666961,848,3
matter,3.630291,373,8
simple,3.630291,595,4
shut,3.612230,1502,2
present,3.606249,53,5
knowledge,3.582524,291,3
started,3.556204,40,8
turned,3.541747,597,4
clean,3.501889,2744,3
his,3.495836,2,104
until,3.478657,53,13
hours,3.471195,63,8
china,3.457420,18,4
chairman,3.451941,1718,2
monday,3.451941,3479,2
above,3.446479,239,5
yes,3.446479,32,10
minute,3.421217,683,3
quick,3.421217,615,3
ready,3.421217,213,6
whole,3.403398,8,9
hand,3.390155,6,8
gain,3.371787,2740,2
memory,3.371787,2032,2
small,3.361381,272,10
took,3.361381,147,10
thought,3.359652,41,12
fashion,3.295272,3274,2
fund,3.295272,46,2
hearing,3.295272,678,2
metal,3.295272,6891,2
oh,3.238921,36,8
felt,3.226925,1070,4
fourth,3.222152,24,2
hear,3.203198,373,5
he,3.200583,2,144
had,3.155300,3,62
done,3.152621,22,11
begin,3.147651,733,2
rather,3.126567,260,6
room,3.111678,43,7
came,3.101831,36,9
attempt,3.076518,1695,2
fell,3.076518,4151,2
glass,3.076518,1304,2
royal,3.076518,1615,2
then,3.071785,8,33
am,3.070395,22,17
come,3.070395,25,17
putting,3.008529,1704,2
standing,3.008529,711,2
cases,2.970238,127,3
note,2.970238,2551,3
hall,2.939507,932,2
deep,2.917198,1527,3
table,2.917198,215,3
wish,2.885000,248,4
left,2.872892,74,11
him,2.870463,2,34
advice,2.869795,59,2
down,2.869795,24,20
william,2.869795,79,2
ways,2.841097,2526,3
began,2.792532,285,3
difficult,2.792532,682,3
friend,2.792532,460,6
side,2.757183,25,8
went,2.757183,172,8
john,2.722718,44,6
lose,2.722718,980,3
seem,2.722718,1118,3
week,2.700217,5,9
position,2.689105,55,4
myself,2.669332,69,5
french,2.656311,19,3
perhaps,2.656311,1761,3
well,2.646380,21,26
effort,2.617998,8821,2
imagine,2.617998,960,2
passed,2.617998,3158,2
telling,2.617998,452,2
which,2.613810,7,48
pay,2.603396,46,6
itself,2.593065,2254,3
serious,2.593065,2,3
none,2.559547,3750,2
reasons,2.559547,1805,2
mind,2.542616,366,6
cannot,2.532761,1211,3
opening,2.500775,6500,2
rule,2.500775,4254,2
every,2.471187,8,14
words,2.447387,67,4
step,2.420194,921,3
far,2.412535,136,7
night,2.408301,30,9
expected,2.388349,3708,2
heavy,2.388349,5620,2
put,2.383123,46,10
possible,2.377920,799,5
course,2.376191,76,6
hope,2.376191,171,6
save,2.367581,888,3
experience,2.342123,49,4
manager,2.334592,726,2
scene,2.334592,3774,2
director,2.317207,450,3
i,2.310990,2,261
beyond,2.280811,7642,2
immediately,2.280811,1976,2
never,2.277304,16,17
did,2.268932,7,19
worked,2.253284,134,3
worth,2.253284,166,3
positive,2.229452,6446,2
my,2.225017,3,76
interest,2.207609,1855,3
read,2.197006,12,7
certainly,2.178175,2906,2
completely,2.178175,4246,2
could,2.178175,6,23
nearly,2.178175,2671,2
hour,2.163750,233,3
anything,2.147496,107,7
brown,2.135465,4397,2
double,2.135465,2938,2
expect,2.135465,1014,2
half,2.118847,571,5
couple,2.107911,48,3
weeks,2.107911,138,3
me,2.091625,4,58
deal,2.084378,315,4
there,2.082079,5,39
day,2.077944,2,17
